look around, 둘러보다
priority, 최우선 과제
practice, 연습하다[동], 연습[명]
recommend, 추천하다
mind, 꺼려하다/싫어하다
postpone, 연기하다 / 지연하다
admit, 인정하다
deny, 부정하다
suggest, 제안하다


RC MEGA PASS - 동명사를 목적어로 취하는 동사
Recommend, 추천하다
Consider, 고려하다

Mind, 꺼려하다
Enjoy, 즐기다
Give up, 포기하다 (=quit)
Avoid, 피하다

Postpone, 연기하다 (=delay)
Admit, 인정하다 (!=deny)부인하다
Suggest, 제안하다
Stop, 중단하다 (=Discontinue, Finish)


WIN HAPPY DREAM - to부정사를 목적어로 취하는 동사
Want/Wish/Would like, 원하다
Intend, ~것을 의도하다/시도하다
Need, ~할 필요가 있다 (=have to~)

Hope, 바라다
Agree, 동의하다 (자동사 이지만 [to V] 목적어 바로 받을 수 있음)
Promiss, 약속하다
Plan, 계획하다
Y, WIN HAPPY DREAM에서 y는 없다.

Decide, 결정하다
Refuse, 거절하다
Expact, 예상하다/기대하다
Aim, ~하는 것을 목표로 삼다
Manage, 가까스로 [to V]를 해내다


3A - to부정사를 목적격 보어로 취하는 동사
Ask, 요청하다
require, 요청하다
force, 요청하다

Advise, 조언하다
invite, 조언하다
encourage, 조언하다

Allow, 허락하다
permit, 허락하다
enable, 허락하다
be busy -ing, ~하느라 바쁘다
have difficulty (in) -ing, ~하느라 어려움을 겪다
spend, 소비하다
waste, 낭비하다
spend 시간/동 -ing, ~하는데 시간/돈을 쓰다
it is no use -ing, ~해도 소용없다
be capable of -ing, ~할 능력이 있다
be worth -ing, ~할 만한 가치가 있다
feel like -ing, ~하고 싶다
on -ing, ~하자마자
go -ing, ~하러가다
keep (on) -ing, 계속 ~하다
be committed to -ing, ~에 전념하다
be devoted to -ing, ~에 헌신하다
be used to -ing, ~에 익숙하다
contribute to -ing, ~에 공헌하다
look forward to -ing, ~을 기대하다
object to -ing, ~에 반대하다
up to 숫자, 최대 ~[부사]
secure, 확보하다[동] / 안전한 [형]
exchange, 교환하다
present, 제시하다
knowledge, 지식
recognition, 인정
practice, 연습/습관/관습
collection, 모음
be promoted in, 승진이 되다
in recogniton of, ~을 인정하여
participation, 참여
gaining, 얻다
reputation, 평판
arrangement, 준비/마련
as a manager, 관리자로서
subscription, 구독/구독료
prediction, 예측 / 예보
supervision, 감독
recommendation, 추천
extensive, 포괄적인/광범위한
try [to v], [to v] 하려고 노력하다
motivate, 동기 부여하다
inquiry, 질문
inquire aboit, ~에 대해서 질문하다
property, 토지 건물
appliances, 가전제품
promising, 유망한
critical, 비판적인/ 중요한
neglect, 무시하다
vacant, 비어 있는
executives, 임원들
insecure, 불안정한
residential, 주거의


현재 분사 형태의 형용사 (~ing / ~하는)
remaining work, 남아 있는 업무 [현재 분사 형태의 형용사]
growing number, 증가하는 수
increasing compertition, 증가하는 경쟁
opening remarks, 개회사
promising employee, 유망한 직원
demanding supervisor, 까다로운 상사
preceding year, 지난해
following year, 다음 해
leading company, 선두 회사
challenging role, 힘든 역할
opposing side, 반대편
closing speech, 폐회사
ongoing maintenance, 진행되는 유지보수
outstanding job performance, 뛰어난 업무 능력
surrounding area, 주변 지역

과거 분사 형태의 형용사 ( p.p. ~된)
intended readers, 의도된 독자
accomplished musician, 뛰어난 음악가
distinguished statesman, 뛰어난 정치가
qualified applicant, 실력있는 지원자
experienced employee, 경험이 많은 직원
motivated employees, 의욕있는 직원들
dedicated workers, 헌신하는 직원들 
detailed report, 자세한 보고서
limited time, 제한된 시간
marked receptacles, 표시된 용기
enclosed brochure, 동봉된 소책자
attached file, 첨부된 파일
preferred means, 선호되는 수단
authorized agency, 허가 받은 업체
specialized skills, 전문화된 기술
sophisticated system, 정교한 시스템
complicated process, 복잡한 과정
celebrated place, 인기있는 장소
guided tour, 가이드 여행
