sophisticated, (기계가)정교한/ 복잡한/ 세련된
timely, 시기적절한/ 때를 맞춘
realistically, 현실적으로
accessible, 출입할 수 있는/ 이용할 수 있는
implement, 실시하다/ 실행하다
outstanding, 우수한/ (부채 등이) 미지불된
replacement, 교체/ 후임자
announcement, 공고 발표
permanently, 영구적으로/ 불변으로
fulfill, (조건을) 만족시키다/ (약속의무를) 지키다/ 이행하다 
outline, 개요 [n] 설명하다[v]
explain, 설명하다
complie, 편집하다 모으다
subsequnt, 차후의 그 다음의
overview, 개요 개관
provider, 공급자/ 제공자
expertise, 전문지식/ 전문기술
remainder, 나머지
compliance, 준수
clarify, 명확하게 하다
aspect, 관점 국면
apparently, 보기에 ~ 한 듯한/ 외관상으로는
aware, 알고있는 인식하고 있는
accidentally, 우연히
advisable, 바람직한 합당한
concerned, 걱정하는/ 관련된
briecase, 서류가방
come over, 방문하다/ 오다
timetable, 시간표
chief, 주된/최고위자인 [adj]
conceal, 감추다
correct, 맞는 정정하다
emprace, 받아들이다/ 포용하다
forum, 토론회
cosmetic, 화장품
on behalf of, ~을 대표하여
instead of, ~대신에
remaining, 남아있는
conference call, 전화 회의
go over, 검토하다
plant, 공장
following, 다음의 [adj] ~후에 [전치사]
the other side, 반대편
outskirt, 변두리 / 교외
profitable, 수익성이 좋은
eliminate, 제거하다
reflect, 반영하다
bid, 입찰
quite a few, 상당수
finalist = shortlist, 최종 후보
put up, (건물등을)세우다 (=set up / establish)
raise, 올리다/ (문제를) 제기하다
in regard to, (=about regarding concerning)
tear down, 파괴하다 해체하다
rather than, ~보다는 ~대신에
go through, 겪다
looking into, 조사하다
in addition, 게다가 / 추가적으로
in addition to, ~뿐만아니라 ~외에도 [전치사]
